MATCHSTATE:0:377:rc/crc/crf:9hTd|/2d5c7d/9s
MATCHSTATE:1:378:f:|4h5c
MATCHSTATE:0:379:crc/crrc/rrrrc/cc:9s8c|Js9c/Kd9hJd/Ad/6h
MATCHSTATE:1:380:f:|Kh5h
MATCHSTATE:0:381:crrf:7c7d|
MATCHSTATE:1:382:rc/crrf:|6s9s/KcTh3c
MATCHSTATE:0:383:cc/rc/crc/cc:8d5c|5h5d/8h2h4h/Qs/Js
MATCHSTATE:1:384:rc/rrrrc/cc/crf:|8hAh/5c4d8d/6s/2s
MATCHSTATE:0:385:cc/rrrc/cc/rrf:3h2c|/Td4sKh/8d/4d
MATCHSTATE:1:386:f:|3hQs
MATCHSTATE:0:387:rf:Jc9h|
MATCHSTATE:1:388:rrc/rc/rf:|5s7d/Ts6dKh/6s
MATCHSTATE:0:389:cc/crf:9sJh|/6h3dAh
MATCHSTATE:1:390:cc/cc/rrc/cc:8h2s|2hKs/7hQhAh/7s/Qd
MATCHSTATE:0:391:f:5s7c|
MATCHSTATE:1:392:f:|9s7d
MATCHSTATE:0:393:cc/rc/crrc/crf:7cJc|/3sTdQc/6d/Ts
MATCHSTATE:1:394:cc/cc/rf:|8h6d/4hJs3h/Jc
MATCHSTATE:0:395:rrc/rc/crc/crrc:Jc3s|8h9s/Ac6cJh/7h/Qh
MATCHSTATE:1:396:cc/cc/rrc/rrc:3hJs|Kh2d/Qd7s7d/4s/9h
MATCHSTATE:0:397:cc/crrrf:KsTs|/Kc6h8c
MATCHSTATE:1:398:f:|4c4d
MATCHSTATE:0:399:rrrc/cc/crc/rrrrf:4s7d|/9h8h9s/3d/2s
